NPC编号	ini注释名称	对象类型	Npc类型	级别	实力包编号	修为经验	怪物强度	掉落	走路速度	跑步速度	武器持握方式	是否转身	模型编号	性别	模型半径	图片	npc声音	材质类型	脚本编号	技能表	连招表	AI类型	主动被动	响应范围	锁定位移攻击	禁播受击动作	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	刷新时间	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	势力归属	势力关系表	剥皮范围	剥皮动作	读条时间	技能编号	技能等级	最大剥皮次数	剩余剥皮次数	是否在剥皮中	生活工具限制包ID	消耗体力	消耗工具耐久	排行榜积分	显示掉落	生活掉落包ID	生活心得	敌人NPC编号表	队友编号	不能被杀死	攻击防御比重	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	使用轻功	格挡模式	破防几率	破防技能	动作集	生存时间	进入战斗对话	超过距离就脱战	脱战回血	无视玩家	仇恨
montest043702	侍从	AttackNpc	1	15	36		1		1.25	4	hand1_1		npc\monster246		0.72	icon\monster\monster246.png						1					2	30	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30															
																																																																																													
																																																																																													
	生活																																																																																												
																																																																																													
																																																																																													
																																																																																													
lifeanimalc05001	山鸡	SkinableNpc	7	22	1		1	AnimalMon00114	1	3	hand_0		npc\monster136		0.645	icon\monster\monster136.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	90	1	1		212	1	15	6		1704	45																			-1									
lifeanimalf01001	绿头鸭	SkinableNpc	7	42	1		1	AnimalMon00115	1	3	hand_0		npc\scene_npc18		0.645	icon\funcnpc\scene_npc18.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	240	1	1		212	1	60	24		1705	45																			-1									
lifeanimalf01002	鹌鹑	SkinableNpc	7	46	1		1		1	3	hand_0		npc\monster119		0.645	icon\monster\monster119.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	270	1	1		212	1	80	32		1706	45																			-1									
lifeanimalf03001	小尾寒羊	SkinableNpc	7	36	1		1		1.2	5	hand_0		npc\monster128		1.095932	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	180	1	1		212	1	30	12		1708	45																			-1									
lifeanimalf03002	麻鸭	SkinableNpc	7	40	1		1	AnimalMon00115	1	3	hand_0		npc\scene_npc18		0.645	icon\funcnpc\scene_npc18.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	200	1	1		212	1	30	12		1709	45																			-1									
lifeanimalf04001	大蟒蛇	SkinableNpc	7	44	1		1	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	220	1	1		212	1	45	18		1712	45																			-1									
lifeanimalf04002	大黑熊	SkinableNpc	7	40	1		1	AnimalMon00102	1.5	4.5	hand_0		npc\monster002		1.130451	icon\monster\monster002.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	200	1	1		212	1	30	12		1713	45																			-1									
lifeanimalf05001	骏马	SkinableNpc	7	24	1		1	AnimalMon00124	1	3	hand_0		npc\monster550		1.095932	icon\monster\monster550.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	120	1	1		212	1	10	4		1717	45																			-1									
lifeanimalf06001	野兔	SkinableNpc	7	28	1		1	AnimalMon00113	3	5	hand_0		npc\monster118		0.645	icon\monster\monster118.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	140	1	1		212	1	15	6		1721	45																			-1									
lifeanimalf06002	猛虎	SkinableNpc	7	52	1		1	AnimalMon00116	1	3	hand_0		npc\monster003		1.130451	icon\monster\monster003.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	260	1	1		212	1	80	32		1722	45																			-1									
lifeanimalf06003	战象	SkinableNpc	7	52	1		1	AnimalMon00110	1.8	3.4	hand_0		npc\monster023		1.4505	icon\monster\monster023.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	260	1	1		212	1	80	32		1723	45																			-1									
lifeanimalf07001	白鹅	SkinableNpc	7	28	1		1		1	3	hand_0		npc\scene_npc19		0.645	icon\funcnpc\scene_npc19.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	140	1	1		212	1	15	6		1728	45																			-1									
lifeanimalf08001	滩羊	SkinableNpc	7	50	1		1		1.2	5	hand_0		npc\monster128		1.095932	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	250	1	1		212	1	60	24		1731	45																			-1									
lifeanimalf09001	蒙古羊	SkinableNpc	7	36	1		1		1.2	5	hand_0		npc\monster128		1.095932	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	180	1	1		212	1	30	12		1733	45																			-1									
lifeanimalf09002	蒙古牛	SkinableNpc	7	42	1		1	AnimalMon00123	1	3	hand_0		npc\monster551		1.095932	icon\monster\monster551.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	210	1	1		212	1	45	18		1734	45																			-1									
lifeanimalf09003	羚羊	SkinableNpc	7	48	1		1		1.2	5	hand_0		npc\monster139		1.095932	icon\monster\monster139.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	240	1	1		212	1	60	24		1735	45																			-1									
lifeanimalm01001	水鸭	SkinableNpc	7	14	1		1	AnimalMon00115	1	3	hand_0		npc\scene_npc18		0.645	icon\funcnpc\scene_npc18.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1739	45																			-1									
lifeanimalm02001	母鸡	SkinableNpc	7	14	1		1	AnimalMon00114	1	3	hand_0		npc\worldnpc143		0.645	icon\monster\worldnpc143.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1741	45																			-1									
lifeanimalm02002	乌骨鸡	SkinableNpc	7	36	1		1	AnimalMon00114	1	3	hand_0		npc\monster136		0.645	icon\monster\monster136.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	180	1	1		212	1	30	12		1742	45																			-1									
lifeanimalm03001	黄羊	SkinableNpc	7	36	1		1		1.2	5	hand_0		npc\monster128		1.095932	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	180	1	1		212	1	30	12		1746	45																			-1									
lifeanimalm04001	野鸭	SkinableNpc	7	30	1		1	AnimalMon00115	1	3	hand_0		npc\scene_npc18		0.645	icon\funcnpc\scene_npc18.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	150	1	1		212	1	15	6		1748	45																			-1									
lifeanimalm04002	萧山鸡	SkinableNpc	7	14	1		1	AnimalMon00114	1	3	hand_0		npc\monster136		0.645	icon\monster\monster136.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1749	45																			-1									
lifeanimalm05001	野牛	SkinableNpc	7	1	1		1	AnimalMon00123	1	3	hand_0		npc\monster551		1.095932	icon\monster\monster551.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	80	1	1		212	1	7	2		1751	45																			-1									
lifeanimalm05002	白鸭	SkinableNpc	7	8	1		1	AnimalMon00115	1	3	hand_0		npc\scene_npc18		0.645	icon\funcnpc\scene_npc18.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	90	1	1		212	1	15	6		1752	45																			-1									
lifeanimalm06001	公鸡	SkinableNpc	7	5	1		1	AnimalMon00114	1	3	hand_0		npc\monster136		0.645	icon\monster\monster136.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	25	1	1		212	1	1			1758	45																			-1									
lifeanimalm07001	羊羔	SkinableNpc	7	1	1		1		1.2	5	hand_0		npc\monster128		0.93417	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	80	1	1		212	1	7	2		1759	45																			-1									
lifeanimalm07002	大白猪	SkinableNpc	7	10	1		1	AnimalMon00111	0.9	2.7	hand_0		npc\monster106		0.923381	icon\monster\monster106.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	50	1	1		212	1	2			1760	45																			-1									
lifeanimalv01001	花白猪	SkinableNpc	7	5	1		1	AnimalMon00111	0.9	2.7	hand_0		npc\monster106		0.923381	icon\monster\monster106.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	25	1	1		212	1	1			1765	45																			-1									
lifeanimalv01002	母猪	SkinableNpc	7	1	1		1	AnimalMon00111	0.9	2.7	hand_0		npc\monster106		0.923381	icon\monster\monster106.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	1	1	1		212	1	1			1766	45																			-1									
lifeanimalv02001	和田羊	SkinableNpc	7	5	1		1		1.2	5	hand_0		npc\monster128		1.095932	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	25	1	1		212	1	1			1769	45																			-1									
lifeanimalv02002	黄牛	SkinableNpc	7	14	1		1	AnimalMon00123	1	3	hand_0		npc\monster551		1.095932	icon\monster\monster551.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1770	45																			-1									
lifeanimalf03003	河东狮	SkinableNpc	7	17	1		1	AnimalMon00109	0.8	4	hand_0		npc\monster018		0.863949	icon\monster\monster018.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	180	1	1		212	1	30	12		1710	45																			-1									
lifeanimalm02003	食人野猪	SkinableNpc	7	14	1		1	AnimalMon00111	0.9	2.7	hand_0		npc\monster106		0.923381	icon\monster\monster106.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1743	45																			-1									
lifeanimalm05006	五步蛇	SkinableNpc	7	31	4		2	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	90	1	1		212	1	15	6		1756	45																			-1									
lifeanimalm07003	荒田饿犬	SkinableNpc	7	6	4		2	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1504		1.5							1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1761	45																			-1									
lifeanimalm07004	竹林毒蛇	SkinableNpc	7	7	4		2	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1762	45																			-1									
lifeanimalv04001	野狗	SkinableNpc	7	5	1		2	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1504		0.964841				npc\npc_dog.lua			1	1	5			2	15	3	15	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	25	1	1		212	1	1			1775	45																			-1									
lifeanimalc01001	迷路家犬	SkinableNpc	7	2	1		1	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1503		1.5							1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	150	1	1		212	1	15	6		1701	45																			-1									
lifeanimalf02001	九色鹿	SkinableNpc	7	35	1		1	AnimalMon00107	1.2	5	hand_0		npc\monster008		0.930587	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	100	1	1		212	1	7	2		1707	45																			-1									
lifeanimalf05003	大蛇	SkinableNpc	7	12	1		1	AnimalMon00112	1	3	hand_0		npc\monster117		0.989951	icon\monster\monster117.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	160	1	1		212	1	20	8		1719	45																			-1									
lifeanimalf05004	鬃羚	SkinableNpc	7	14	1		1		1.2	5	hand_0		npc\monster128		0.811813	icon\monster\monster008.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	160	1	1		212	1	20	8		1720	45																			-1									
lifeanimalf09006	食人黑豹	SkinableNpc	7	40	1		1		1.2	5	hand_0		npc\petm_c_1504		0.849352							1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	240	1	1		212	1	60	24		1738	45																			-1									
lifeanimalm01002	追踪恶犬	SkinableNpc	7	6	4		2	AnimalMon00117	1.2	5	hand_0		npc\petm_c_1503		1.058118							1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1740	45																			-1									
lifeanimalv03001	灰熊	SkinableNpc	7	3	1		1	AnimalMon00102	1.5	4.5	hand_0		npc\monster002		1.582473	icon\monster\monster002.png						1	1	5			2	15	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	1	1	1		212	1	1			1774	45																			-1									
lifeanimalf04003	牦牛	SkinableNpc	7	17	1		1	AnimalMon00123	1	3	hand_0		npc\monster551		1.4505	icon\monster\monster551.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	150	1	1		212	1	15	6		1714	45																			-1									
lifeanimalf07002	野猪	SkinableNpc	7	13	4		2	AnimalMon00111	0.9	2.7	hand_0		npc\monster106		0.964841	icon\monster\monster106.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1729	45																			-1									
lifeanimalf06007	摘星猿	SkinableNpc	7	51	2		1	AnimalMon00106	1.5	3.2	hand_0		npc\monster600		0.930587	icon\monster\monster600.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	270	1	1		212	1	80	32		1727	45																			-1									
lifeanimalf07003	沙狼	SkinableNpc	7	12	4		2	AnimalMon00108	1.2	5	hand_0		npc\petm_c_1500		1.5							1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	160	1	1		212	1	20	8		1730	45																			-1									
lifeanimalf08002	大漠苍狼	SkinableNpc	7	57	1		1	AnimalMon00108	1.2	5	hand_0		npc\petm_c_1500		1.5							1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	260	1	1		212	1	80	32		1732	45																			-1									
lifeanimalf09004	嗜血黑鹰	SkinableNpc	7	43	4		2		1	3	hand_0		npc\monster136		0.930587	icon\monster\monster136.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	270	1	1		212	1	80	32		1736	45																			-1									
lifeanimalf09005	凶狼	SkinableNpc	7	37	1		1	AnimalMon00108	1.2	5	hand_0		npc\petm_c_1500		1.5							1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	180	1	1		212	1	30	12		1737	45																			-1									
lifeanimalm03002	灵猴	SkinableNpc	7	23	4		2	AnimalMon00106	1.5	3.2	hand_0		npc\monster600		0.871958	icon\monster\monster600.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	100	1	1		212	1	7	2		1747	45																			-1									
lifeanimalv02005	嗜血乌鸦	SkinableNpc	7	5	1		1		1	3	hand_0		npc\monster136		0.961669	icon\monster\monster136.png						1	1	5			2	15	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	50	1	1		212	1	2			1773	45																			-1									
lifeanimalnew001	小猪崽	SkinableNpc	7	1	1		1		0.9	2.7	hand_0		npc\monster106		0.923381	icon\monster\monster106.png						1	1	5			2	30	10	60	npc_foundplayer		3						-1	1	1										5	life_lh_02	5000	sh_lh	1	1	1		212	1	1			1780	45																			-1									
																																																																																													
																																																																																													
																																																																																													
																																																																																													
	//千灯镇测试																																																																																												
qdztest001	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0100		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest002	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0200		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest003	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0300		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest004	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0400		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest005	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0500		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest006	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0600		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest007	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0700		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest008	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0800		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest009	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_0900		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest010	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_1000		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest011	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_1100		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest012	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_1201		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest013	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_1300		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest014	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_1400		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest015	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_1500		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
qdztest016	千灯镇测试怪	AttackNpc	7	10	1		1	AnimalMon00102	1.25	4	hand_0		npc\petm_c_1600		0.9							1	0				2	15	10	60	npc_foundplayer		3						-1	1	0																													3000		2000						30						-1									
																																																																																													
																																																																																													
	//洛阳奇遇																																																																																												
qy_luoyang_shashou	神秘杀手	AttackNpc	1	50	12		2	qy_luoyang003	1.25	4	hand1_1		npc\monster058		0.863286	icon\monster\monster058.png						1	1	5			2	30	10	60	npc_foundplayer		3						30000	1	0																																																				
qy_luoyang_yazi	野鸭	AttackNpc	7	14	1		1	qy_luoyang001	1	4	hand_0		npc\scene_npc18		0.393538	icon\funcnpc\scene_npc18.png						1	1				2	30	10	60	npc_foundplayer		3						30000	1	0																																											-1									
qy_luoyang_qiufan	幕后黑手	AttackNpc	1	50	12		2	qy_luoyang004	1.25	4	hand1_1		npc\worldnpc107		0.863286	icon\monster\fbfunnpc00121.png						1	1	5			2	30	10	60	npc_foundplayer		3						30000	1	0																																																				
qy_luoyang_yeji	野山鸡	AttackNpc	7	14	36		1	qy_luoyang001	1	4	hand_0		npc\monster119		0.481824	icon\monster\monster119.png						1	1				2	30	10	60	npc_foundplayer		3						30000	1	0																																											-1									
qy_luoyang_junguan	白马寺卫兵军官	AttackNpc	1	13	12		1	qy_luoyang006	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png						1	1				2	30	10	60	npc_foundplayer		3						30000	1	0																																																				
																																																																																													
																																																																																													
																																																																																													
																																																																																													
monf094703	竞争者	AttackNpc	1	1	1		1	NormalMon00901	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png						1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
																																																																																													
	//武当奇遇																																																																																												
qy_wudang_hubi	虎王	AttackNpc	7	45	6		1	AnimalMon00129	1	4	hand_0		npc\monster003		1.645	icon\monster\monster003.png			Adventure\ly\qy_wudang_hubi.lua			1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
qy_wudang_xiongbi	黑熊王	AttackNpc	7	45	6		1	AnimalMon00128 	1.5	4.5	hand_0		npc\petm_c_1202		1.582473	icon\monster\monster002.png			Adventure\ly\qy_wudang_hubi.lua			1	1				2	15	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30						-1									
qy_wudang_xiaotou	小偷	AttackNpc	1	40	6		1	qy_wudang	1.25	4	hand1_1		npc\monster459		0.935	icon\monster\monster459.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
qy_wudang_jianke	剑客	AttackNpc	1	40	6		1	NormalMon07001	1.25	4	sword1_1		npc\worldnpc292_qy_01		0.920611	icon\funcnpc\worldnpc292.png						1	1				2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
																																																																																													
																																																																																													
	//塞外大漠奇遇																																																																																												
qy_saiwaidm_mhy	糜恒云	AttackNpc	1	55	1		1	NormalMon05901	1.25	4	hand1_1		npc\worldnpc217		0.975	icon\funcnpc\worldnpc217.png			Adventure\sbdm\qy_saiwaidm_mhy.lua			1		2			2	30	10	60	npc_foundplayer								-1	1	0																											1		2000		2000						30															
qy_saiwaidm_tf	铁服	AttackNpc	1	56	1		1	NormalMon05901	1.25	4	hand1_1		npc\worldnpc393		0.975	icon\funcnpc\worldnpc393.png			Adventure\sbdm\qy_saiwaidm_tf.lua			1		2			2	30	10	60	npc_foundplayer								-1	1	0																											1		2000		2000						30															
qy_saiwaidm_tyj	铁英杰	AttackNpc	1	58	1		1	NormalMon05901	1.25	4	hand1_1		npc\worldnpc313		0.975	icon\funcnpc\worldnpc313.png			Adventure\sbdm\qy_saiwaidm_tyj.lua			1		2			2	30	10	60	npc_foundplayer								-1	1	0																											1		2000		2000						30															
qy_saiwaidm_sb	士兵	AttackNpc	1	53	1		1	NormalMon05901	1.25	4	hand1_1		npc\monster105		0.975	icon\monster\monster105.png			Adventure\sbdm\qy_saiwaidm_sb.lua			1		2			2	30	10	60	npc_foundplayer								-1	1	0																											1		2000		2000						30															
qy_saiwaidm_sb1	士兵	AttackNpc	1	53	1		1	NormalMon05901	1.25	4	hand1_1		npc\monster105		0.975	icon\monster\monster105.png			Adventure\sbdm\qy_saiwaidm_sb1.lua			1		2			2	30	10	60	npc_foundplayer								-1	1	0																											1		2000		2000						30															
NpcClone011112	劫匪	AttackNpc	1	30	39		1		1.25	4	hand1_1		npc\worldnpc164		0.915734	icon\funcnpc\worldnpc164.png						1	0	20			2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30				1											
																																																																																													
	//孔雀奇遇																																																																																												
qy_kongque_yy	牢房看守	AttackNpc	1	53	1		1	NormalMon05901	1.25	4	hand1_1		npc\monster555		0.975	icon\monster\monster555.png			Adventure\sbdm\qy_kongque_yy.lua			1		2			2	30	10	60	npc_foundplayer								-1	1	0																											1		2000		2000						30															
	//少林3内任务怪																																																																																												
qy_wudang_jianghurenshi	来路不明的江湖人士	AttackNpc	1	65	1		1		1.25	4	hand1_1		npc\monster124		0.975	icon\monster\monster124.png						1	1	2			2	30	10	60	npc_foundplayer								1000	1	0																													2000		2000						30															
qy_wudang_maopaidaoshi	江湖骗子	AttackNpc	1	65	1		1		1.25	4	hand1_1		npc\worldnpc197		0.975	icon\funcnpc\worldnpc197.png						1	1	2			2	30	10	60	npc_foundplayer								1000	1	0																													2000		2000						30															
qy_shaolin_fansen	泼皮番僧	AttackNpc	1	65	1		1		1.25	4	hand1_1		npc\monster124		0.975	icon\monster\monster124.png						1	1	2			2	30	10	60	npc_foundplayer								1000	1	0																													2000		2000						30															
NpcQYLMKZ003	圣境卫兵	AttackNpc	1	56	45		1	qy_lmkz_002	1.25	4	hand1_1		npc\monster105		0.99	icon\monster\monster105.png						1					2	30	10	60	npc_foundplayer								-1	1	0																													2000		2000						30															
monv011710	野猪	AttackNpc	7	47	43		1	AnimalMon00130	0.9	2.7	hand_0		npc\monster106		0.923381	icon\monster\monster106.png						1	1	5			2	15	3	15	npc_foundplayer		3						-1	1	0										5	life_lh_02	5000	sh_lh	70	1	1		212	1	5	2		1729	45					2000		2000						30						-1									
qy_wd_fansen	泼皮番僧	AttackNpc	1	65	1		1		1.25	4	hand1_1		npc\monster124		0.975	icon\monster\monster124.png						1	1	2			2	30	10	60	npc_foundplayer								1000	1	0																													2000		2000						30															
																																																																																													
task_brokennpc_01	酒坛	AttackNpc	172	1	1		1		0	0		0	npc\brokennpc\brokenitem004		1.877861							1	1	5	1		2	10	5	10		0	1						1500	1	4																											0										0															
																																																																																													
monc020704	通缉要犯	AttackNpc	1	22	14		1	NormalMon00701	1.25	4	hand1_1		npc\worldnpc552		0.91	icon\funcnpc\worldnpc552.png				"feiti_nan,1,30;jidianshi_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
monc020705	通缉要犯	AttackNpc	1	22	14		1	NormalMon00701	1.25	4	hand1_1		npc\worldnpc552		0.91	icon\funcnpc\worldnpc552.png				"feiti_nan,1,30;jidianshi_nan,1,30"		1					2	30	10	60	npc_foundplayer		3						-1	1	0																													2000		2000						30															
